x y s l
301000.00 504400.00 36 27
301400.00 504400.00 36 28
301800.00 504400.00 36 29
302200.00 504400.00 36 30
302600.00 504400.00 36 31
303000.00 504400.00 36 32
303400.00 504400.00 36 33
303800.00 504400.00 36 34
304200.00 504400.00 36 35
304600.00 504400.00 36 36
305000.00 504400.00 36 37
305400.00 504400.00 36 38
305800.00 504400.00 36 39
306200.00 504400.00 36 40
306600.00 504400.00 36 41
307000.00 504400.00 36 42
307400.00 504400.00 36 43
307800.00 504400.00 36 44
300000.00 504800.00 37 25
300400.00 504800.00 37 26
300800.00 504800.00 37 27
301200.00 504800.00 37 28
301600.00 504800.00 37 29
302000.00 504800.00 37 30
302400.00 504800.00 37 31
302800.00 504800.00 37 32
303200.00 504800.00 37 33
303600.00 504800.00 37 34
304000.00 504800.00 37 35
304400.00 504800.00 37 36
304800.00 504800.00 37 37
305200.00 504800.00 37 38
305600.00 504800.00 37 39
306000.00 504800.00 37 40
306400.00 504800.00 37 41
306800.00 504800.00 37 42
307200.00 504800.00 37 43
307600.00 504800.00 37 44
308000.00 504800.00 37 45
300200.00 505200.00 38 25
300600.00 505200.00 38 26
301000.00 505200.00 38 27
301400.00 505200.00 38 28
301800.00 505200.00 38 29
302200.00 505200.00 38 30
302600.00 505200.00 38 31
303000.00 505200.00 38 32
303400.00 505200.00 38 33
303800.00 505200.00 38 34
304200.00 505200.00 38 35
304600.00 505200.00 38 36
305000.00 505200.00 38 37
305400.00 505200.00 38 38
305800.00 505200.00 38 39
306200.00 505200.00 38 40
306600.00 505200.00 38 41
307000.00 505200.00 38 42
307400.00 505200.00 38 43
307800.00 505200.00 38 44
300000.00 505600.00 39 25
300400.00 505600.00 39 26
300800.00 505600.00 39 27
301200.00 505600.00 39 28
301600.00 505600.00 39 29
302000.00 505600.00 39 30
302400.00 505600.00 39 31
302800.00 505600.00 39 32
303200.00 505600.00 39 33
303600.00 505600.00 39 34
304000.00 505600.00 39 35
304400.00 505600.00 39 36
304800.00 505600.00 39 37
305200.00 505600.00 39 38
305600.00 505600.00 39 39
306000.00 505600.00 39 40
306400.00 505600.00 39 41
306800.00 505600.00 39 42
307200.00 505600.00 39 43
307600.00 505600.00 39 44
308000.00 505600.00 39 45
300200.00 506000.00 40 25
300600.00 506000.00 40 26
301000.00 506000.00 40 27
301400.00 506000.00 40 28
301800.00 506000.00 40 29
302200.00 506000.00 40 30
302600.00 506000.00 40 31
303000.00 506000.00 40 32
303400.00 506000.00 40 33
303800.00 506000.00 40 34
304200.00 506000.00 40 35
304600.00 506000.00 40 36
305000.00 506000.00 40 37
305400.00 506000.00 40 38
305800.00 506000.00 40 39
306200.00 506000.00 40 40
306600.00 506000.00 40 41
307000.00 506000.00 40 42
307400.00 506000.00 40 43
307800.00 506000.00 40 44
300000.00 506400.00 41 25
300400.00 506400.00 41 26
300800.00 506400.00 41 27
301200.00 506400.00 41 28
301600.00 506400.00 41 29
302000.00 506400.00 41 30
302400.00 506400.00 41 31
302800.00 506400.00 41 32
303200.00 506400.00 41 33
303600.00 506400.00 41 34
304000.00 506400.00 41 35
304400.00 506400.00 41 36
304800.00 506400.00 41 37
305200.00 506400.00 41 38
305600.00 506400.00 41 39
306000.00 506400.00 41 40
306400.00 506400.00 41 41
306800.00 506400.00 41 42
307200.00 506400.00 41 43
307600.00 506400.00 41 44
308000.00 506400.00 41 45
300200.00 506800.00 42 25
300600.00 506800.00 42 26
301000.00 506800.00 42 27
301400.00 506800.00 42 28
301800.00 506800.00 42 29
302200.00 506800.00 42 30
302600.00 506800.00 42 31
303000.00 506800.00 42 32
303400.00 506800.00 42 33
303800.00 506800.00 42 34
304200.00 506800.00 42 35
304600.00 506800.00 42 36
305000.00 506800.00 42 37
305400.00 506800.00 42 38
305800.00 506800.00 42 39
306200.00 506800.00 42 40
306600.00 506800.00 42 41
307000.00 506800.00 42 42
307400.00 506800.00 42 43
307800.00 506800.00 42 44
300000.00 507200.00 43 25
300400.00 507200.00 43 26
300800.00 507200.00 43 27
301200.00 507200.00 43 28
301600.00 507200.00 43 29
302000.00 507200.00 43 30
302400.00 507200.00 43 31
302800.00 507200.00 43 32
303200.00 507200.00 43 33
303600.00 507200.00 43 34
304000.00 507200.00 43 35
304400.00 507200.00 43 36
304800.00 507200.00 43 37
305200.00 507200.00 43 38
305600.00 507200.00 43 39
306000.00 507200.00 43 40
306400.00 507200.00 43 41
306800.00 507200.00 43 42
307200.00 507200.00 43 43
307600.00 507200.00 43 44
308000.00 507200.00 43 45
300200.00 507600.00 44 25
300600.00 507600.00 44 26
301000.00 507600.00 44 27
301400.00 507600.00 44 28
301800.00 507600.00 44 29
302200.00 507600.00 44 30
302600.00 507600.00 44 31
303000.00 507600.00 44 32
303400.00 507600.00 44 33
303800.00 507600.00 44 34
304200.00 507600.00 44 35
304600.00 507600.00 44 36
305000.00 507600.00 44 37
305400.00 507600.00 44 38
305800.00 507600.00 44 39
306200.00 507600.00 44 40
306600.00 507600.00 44 41
307000.00 507600.00 44 42
307400.00 507600.00 44 43
307800.00 507600.00 44 44
300000.00 508000.00 45 25
300400.00 508000.00 45 26
300800.00 508000.00 45 27
301200.00 508000.00 45 28
301600.00 508000.00 45 29
302000.00 508000.00 45 30
302400.00 508000.00 45 31
302800.00 508000.00 45 32
303200.00 508000.00 45 33
303600.00 508000.00 45 34
304000.00 508000.00 45 35
304400.00 508000.00 45 36
304800.00 508000.00 45 37
305200.00 508000.00 45 38
305600.00 508000.00 45 39
306000.00 508000.00 45 40
306400.00 508000.00 45 41
306800.00 508000.00 45 42
307200.00 508000.00 45 43
307600.00 508000.00 45 44
308000.00 508000.00 45 45
